Number of iterations: 1000
L^2 error: 0.10327857024341251
390946.9972104713
Augmented Objective: 390946.9975582478
Difference: 0.00034777651308104396
soln = 245×4 DataFrame
 Row │ variable  value         stage  scenarios
     │ String    Float64       Int64  String
─────┼──────────────────────────────────────────
   1 │ b[4]       144.414          1  0,1,2,3,4
   2 │ b[5]         3.71502        1  0,1,2,3,4
   3 │ b[1]       500.0            1  0,1,2,3,4
   4 │ b[2]       144.633          1  0,1,2,3,4
   5 │ b[3]       144.553          1  0,1,2,3,4
   6 │ h[1,2,1]   100.0            2  0
   7 │ w[1,1]       0.0            2  0
   8 │ g[1,1,2]     0.0            2  0
   9 │ h[2,1,1]   100.0            2  0
  10 │ h[2,2,4]     0.0            2  0
  11 │ h[2,1,4]     0.0            2  0
  12 │ h_b[2,4]     0.0            2  0
  13 │ h_b[2,2]   140.699          2  0
  14 │ h_b[1,3]     0.0            2  0
  15 │ g[2,2,2]   300.0            2  0
  16 │ h[1,1,2]     0.0            2  0
  17 │ g[2,2,4]   300.0            2  0
  18 │ w[1,3]       0.0            2  0
  19 │ h[1,2,3]     0.0            2  0
  20 │ g[2,1,3]   300.0            2  0
  21 │ g[2,1,2]   300.0            2  0
  22 │ g[1,1,4]     0.0            2  0
  23 │ h[2,2,2]     0.0            2  0
  24 │ h_b[1,2]     0.139454       2  0
  25 │ h[1,2,2]     0.0            2  0
  26 │ h[2,2,1]   100.0            2  0
  27 │ h[1,1,4]     0.0            2  0
  28 │ g[2,1,1]   300.0            2  0
  29 │ w[2,2]       0.0            2  0
  30 │ h_b[2,1]     0.0794836      2  0
  31 │ h[2,1,3]     0.0            2  0
  32 │ g[1,2,3]     0.0            2  0
  33 │ g[1,2,4]     0.0            2  0
  34 │ w[2,1]       0.0            2  0
  35 │ h_b[1,4]     0.0            2  0
  36 │ w[1,2]       0.0            2  0
  37 │ g[2,2,1]   300.0            2  0
  38 │ w[2,4]       0.0            2  0
  39 │ g[2,1,4]   300.0            2  0
  40 │ h[2,2,3]     0.0            2  0
  41 │ h[1,1,1]    55.3669         2  0
  42 │ h_b[1,1]   355.367          2  0
  43 │ w[1,4]       0.0            2  0
  44 │ h[1,1,3]     0.0            2  0
  45 │ h[1,2,4]     0.0            2  0
  46 │ g[1,1,3]     0.0            2  0
  47 │ g[1,2,1]  1100.0            2  0
  48 │ h[2,1,2]     0.0            2  0
  49 │ h_b[2,3]     0.0            2  0
  50 │ g[2,2,3]   300.0            2  0
  51 │ w[2,3]       0.0            2  0
  52 │ g[1,2,2]     0.0            2  0
  53 │ g[1,1,1]  1044.63           2  0
  54 │ h[1,2,4]     0.0            2  1
  55 │ w[2,3]       0.0            2  1
  56 │ h_b[2,4]     0.0            2  1
  57 │ h[2,1,4]     0.0            2  1
  58 │ g[1,1,3]     0.0            2  1
  59 │ g[1,2,3]     0.0            2  1
  60 │ h_b[2,1]     0.0795862      2  1
  61 │ g[2,2,3]   300.0            2  1
  62 │ g[1,2,4]     0.0            2  1
  63 │ w[1,3]       0.0            2  1
  64 │ w[1,4]       0.0            2  1
  65 │ h[2,1,1]   100.0            2  1
  66 │ g[2,2,2]   300.0            2  1
  67 │ w[1,2]       0.0            2  1
  68 │ w[2,2]       0.0            2  1
  69 │ h_b[1,3]     0.0            2  1
  70 │ h_b[1,1]   355.367          2  1
  71 │ g[1,1,4]     0.0            2  1
  72 │ h[1,1,2]     0.0            2  1
  73 │ g[2,1,3]   300.0            2  1
  74 │ g[2,2,4]   300.0            2  1
  75 │ h[1,2,3]     0.0            2  1
  76 │ h[2,2,1]   100.0            2  1
  77 │ g[1,1,2]     0.0            2  1
  78 │ h[1,2,2]     0.0            2  1
  79 │ h_b[2,3]     0.0            2  1
  80 │ h_b[2,2]   140.699          2  1
  81 │ g[1,2,2]     0.0            2  1
  82 │ h[1,1,4]     0.0            2  1
  83 │ h_b[1,2]     0.139386       2  1
  84 │ g[2,1,4]   300.0            2  1
  85 │ w[2,1]       0.0            2  1
  86 │ h[2,2,3]     0.0            2  1
  87 │ w[2,4]       0.0            2  1
  88 │ h[1,1,1]   100.0            2  1
  89 │ g[2,2,1]   300.0            2  1
  90 │ h_b[1,4]     0.0            2  1
  91 │ h[2,2,2]     0.0            2  1
  92 │ g[2,1,1]   300.0            2  1
  93 │ g[2,1,2]   300.0            2  1
  94 │ g[1,2,1]  1850.0            2  1
  95 │ h[2,2,4]     0.0            2  1
  96 │ h[2,1,2]     0.0            2  1
  97 │ h[2,1,3]     0.0            2  1
  98 │ w[1,1]       0.0            2  1
  99 │ h[1,1,3]     0.0            2  1
 100 │ h[1,2,1]   100.0            2  1
 101 │ g[1,1,1]  1700.0            2  1
 102 │ g[2,2,4]   300.0            2  2
 103 │ h[1,1,2]     0.0            2  2
 104 │ w[1,2]       0.0            2  2
 105 │ h_b[1,3]     0.0            2  2
 106 │ h[2,1,2]     0.0            2  2
 107 │ h[1,2,3]     0.0            2  2
 108 │ h[2,2,2]     0.0            2  2
 109 │ w[1,4]       0.0            2  2
 110 │ h_b[1,4]     0.0            2  2
 111 │ g[2,1,1]   300.0            2  2
 112 │ h[2,2,4]     0.0            2  2
 113 │ g[2,2,2]   300.0            2  2
 114 │ g[1,1,4]     0.0            2  2
 115 │ h_b[2,3]     0.0            2  2
 116 │ g[1,2,3]     0.0            2  2
 117 │ g[1,2,2]     0.0            2  2
 118 │ g[1,1,3]     0.0            2  2
 119 │ g[2,1,3]   300.0            2  2
 120 │ h[2,1,4]     0.0            2  2
 121 │ w[2,1]       0.0            2  2
 122 │ g[1,1,2]     0.0            2  2
 123 │ h[1,2,4]     0.0            2  2
 124 │ h_b[2,2]   140.699          2  2
 125 │ g[2,1,4]   300.0            2  2
 126 │ h[1,2,2]     0.0            2  2
 127 │ h[2,2,3]     0.0            2  2
 128 │ h_b[1,2]     0.139386       2  2
 129 │ w[2,4]       0.0            2  2
 130 │ w[1,3]       0.0            2  2
